"SYMBOL","GSM93789.CEL.gz","GSM93920.CEL.gz","GSM93921.CEL.gz","GSM93922.CEL.gz","GSM93923.CEL.gz","GSM93924.CEL.gz","GSM93925.CEL.gz","GSM93926.CEL.gz","GSM93927.CEL.gz","GSM93928.CEL.gz","GSM93929.CEL.gz","GSM93932.CEL.gz","GSM93938.CEL.gz","GSM93939.CEL.gz","GSM93941.CEL.gz","GSM93943.CEL.gz","GSM93944.CEL.gz","GSM93946.CEL.gz","GSM93948.CEL.gz","GSM93950.CEL.gz","GSM93952.CEL.gz","GSM93954.CEL.gz"
"ABCA1",4.02741069891816,4.6628837351885,4.60389545406485,4.56842074209139,4.61348425425436,4.63080556021142,4.73792224683986,4.55552694435407,4.4479071451419,4.36484180217162,4.74731619034348,4.30745634723408,4.08810849812159,4.2910246027176,4.64681247240576,4.4792222436137,4.26293940241595,4.47493473080235,4.39630585048308,4.42405723840858,4.33441244169264,4.78241177477448
"ABCA11P",2.947264830665,3.36882531346151,3.56459947741203,3.63930189580475,3.3308540554652,3.35481144535008,3.73490704417084,3.46992495242874,3.60320182780811,3.02759349868117,3.82470068143385,3.16194184163517,2.88849159325679,2.88467448258501,4.23477712684789,3.57591195138939,3.26539216219394,3.20672863310685,3.76680975728839,3.37106267342612,3.1740749583895,3.39760079736498
"ABCA12",2.16557311450057,1.97002819218547,1.9531085064573,2.15673962138457,1.95425956844248,1.76774714762453,2.09941049291544,1.88522663371059,2.08848350437465,2.02565359225498,2.07626965820226,2.26458894643374,1.87067799681348,1.87695084488732,2.03094318636185,1.98008035869267,2.00358413667277,1.96416481523022,2.19998485772102,2.10254597680045,1.98911071343597,2.10254597680045
"ABCA13",1.9577840091902,1.79389191837377,1.97778703542379,2.04036456458681,1.86454860756871,1.79763782167505,2.0130796041614,1.86099988456409,1.90188510678855,1.94385485597082,1.91512202596117,1.88778151084904,1.94452983585521,2.09926043842858,1.99484561113274,1.8945050938915,2.03172529640004,1.96745668385975,2.01228457663076,1.96133142563948,1.86740086899984,1.94723717456446
"ABCA17P",2.17042115870427,2.53784704141205,2.22088826410829,2.5642036364774,2.26767283389732,2.26380903623163,2.06715744589059,2.26793055965284,2.09811984420958,2.25015786342346,2.22686598450651,2.20541954513158,2.37422963639464,2.47914608004613,2.06715744589059,1.91931406482711,1.97869729367064,2.5740713914526,2.40907556753514,2.02827443390039,2.17428495636996,2.24937137908302
"ABCA2",4.36559914741045,3.99753265519897,4.03768402573199,4.41937229035898,4.10116420499584,3.86402456268123,4.1778646596018,4.11249696490582,4.13335244394421,4.28104948621988,4.36803149760244,4.08640234569791,4.11488641305632,3.98826551011217,4.02704374654648,3.86467443775081,3.76418900538,4.03763531593582,3.96902484004913,4.18098280330565,4.06662979706396,3.87055981180424
"ABCA3",6.08982951744269,4.50334533351167,4.9353821974542,5.70584373249973,4.52852688145994,5.37987260846882,5.54574734839303,5.58693815204331,5.07570068556498,5.24974788025171,5.30749933814464,4.94104904393428,4.4163945988359,4.69529561699061,4.89335006027301,4.6810503909776,4.69494960702704,4.84501302782238,4.77715154551209,4.67050757012995,4.92760467611271,5.04751225365138
"ABCA4",2.89557977557768,2.85721433450218,2.84318939489421,2.722739595082,2.56237923127093,2.55079187695308,2.81374305413213,2.44922009475693,2.41152553125176,2.53502674075502,2.79390994825913,2.70266134346167,2.69342473362165,2.48147471181017,2.49738284424216,2.5478457418174,2.76219824216651,2.50040745500487,2.7029532559426,2.59691969721854,2.56679783338199,2.76200075801649
"ABCA5",3.48346302178477,4.99522060289685,5.45768338280254,4.88189171019105,5.63528406748591,4.62466900781139,3.77021698264782,4.89532227987664,5.68166669148451,4.57510712917084,5.26396952518518,5.35090298657803,5.06465589905862,5.4567061665866,5.81115841056845,4.84928635622749,5.53899432844953,4.98649398879884,5.15382184263158,4.76105245247385,5.83767726405795,5.12358978263978
"ABCA6",2.77771752089201,3.12023201787924,2.30545475688048,3.32012142381251,2.46876069452103,3.33599424178663,2.5132016441244,2.37078731544709,2.40340795780194,2.59370209049442,2.79217647529138,2.5073074251792,2.30397998782169,2.46045644160614,3.04765896056559,2.55693611232451,2.44308794832098,2.70892929258917,2.27442239324316,2.34031443261996,2.59243784444692,2.63157878974882
"ABCA7",5.32863623400126,4.19545529303536,4.52642788676054,5.16082341429849,4.10032550991773,4.54645372925795,4.62789827865547,5.0312099469475,4.86036433049138,4.86677821457438,5.14300611915645,4.69689075726207,4.57056775397746,5.79381476168495,4.68900319288611,4.34937377234533,4.24427573090607,3.97734607883558,4.17543833739779,4.26165852630402,5.41934790399224,4.77089692914045
"ABCA8",3.60408710543823,4.45887957221069,3.74772135991993,4.19981323250231,4.11152234489608,4.06814037419432,4.23510273739236,3.70962886852655,3.51680640981742,3.81783109727427,4.12170943828031,3.76818193636667,3.83877874148424,3.28078303476627,4.21774755214609,3.85013969421016,2.98663203574271,3.44669354253441,3.60606656778341,3.84999165518787,2.82235939469376,4.05597020328206
"ABCA9",2.35346851577305,2.36038586369421,2.44413365286533,2.93730053190546,2.28103149784884,2.86018377054192,2.87713823801958,2.3603224458332,2.47295952798906,2.4697065091398,2.64171064068983,2.30199825589388,2.10754182026457,2.3461850739866,2.3745379573627,2.2033291829931,2.24986261730885,2.1642707553275,2.26614004877527,2.26900884789432,2.571901051454,2.43824355759274
"ABCB1",4.21206563785543,6.84715438018976,7.92740301607895,5.97007826767472,7.72087749859919,5.31658096536425,3.78320419136501,5.39868764064518,7.36459591899437,6.00463793787873,7.17529147320114,7.49651020875129,6.87985302374955,6.97586128093062,6.96815170779853,7.52831689373491,5.98818271966321,7.10973921403445,7.41915515650497,7.20534147795232,6.53878794907936,7.3752273243515
"ABCB10",3.92868456173452,5.78348582883893,5.20407897196335,4.26285649768361,5.84793566732862,4.94445001191219,5.08541382714026,4.50001540485458,5.14095020131266,5.14890113701707,4.83442395842294,4.99747924110798,5.92324383293992,5.15141967799236,4.93912574651191,6.05468854318568,6.05068100201578,5.58103451299335,6.02682424637797,5.96781732143476,5.69329984805921,6.27572806666538
"ABCB11",2.78490436147442,2.64290328301788,2.91850904158304,2.73124422841584,2.57057744885675,2.43908949092651,2.66612914566539,2.7893355720362,2.59541445903488,2.98169313529321,2.58895068425532,2.97829752090956,2.74572799508207,2.89713408764451,2.47048723414834,4.81989857103081,2.76335630460407,3.74426617183902,4.09365158517212,3.84030820517295,2.47757752805004,3.11962524142322
"ABCB4",4.21219975357409,4.56172054339539,4.72653861114405,4.29086848810735,4.63546825379904,4.26897006853275,3.28878582182708,4.46254578086864,5.20445265597379,4.0979126933973,4.54623062364695,4.71927698825973,4.62991390009644,4.77810618314749,4.51832815448475,4.79734315233108,4.14902616965893,4.62055342439767,4.69301979405024,4.60997274982338,4.75736352567699,4.66385954229461
"ABCB5",2.66919764808343,2.39614367334556,2.27548183679916,2.33690184506737,2.44213618529627,2.36421223479188,2.46866066715208,2.19244815788499,2.2731185866971,2.59982952915867,2.41015932861705,2.45780572754717,2.42311762766645,2.41982662345236,2.36796049067897,2.36557355747561,2.43936275200169,2.36344384658166,2.30584624150628,2.37620412938869,2.24994545278092,2.32466623992979
"ABCB6",4.6613324335281,4.02998859584849,4.72968590116702,4.91829436576534,4.61114351447264,4.62229309147427,4.81098748788505,4.87316670546489,4.69098072761421,4.57538056734647,4.63738398538867,4.88751451370931,4.29145287973158,4.58366449775122,4.68981903244742,4.6135504303086,4.74730076248902,4.48924522013576,4.81527891041724,4.54380294094289,4.78729244920904,4.98248311729603
"ABCB7",6.47935956672629,6.1582835896389,6.5119613144929,6.34962173084398,6.77598683668719,6.81865490417763,6.4115487765115,6.63233838126411,6.5332022802514,6.57339981447584,6.24374443681847,6.63496600062424,7.25121380214165,6.92336719015472,6.77228540418059,7.09588231340189,7.08304029647671,6.40101775455668,6.60872564628154,6.61277593944938,6.65201384524972,6.30325542786494
"ABCB8",3.78553621587178,3.19147060387802,3.37046635192308,3.3374880469826,3.15352073989169,3.13709214797077,3.15784156994702,3.22455521404056,3.3784382966212,3.32420123262234,3.13252793275034,3.52202371355973,3.33112769292275,3.77359054965885,3.36210400651642,3.27156795216008,3.33025698810817,3.21487242400003,3.34771577646654,3.45796200814069,3.38494174071053,3.07744311811902
"ABCB9",4.60647492396672,3.6905787858208,4.05703613207272,4.69450733716704,4.02427057170217,4.14807230256409,3.76747432399266,4.38810810367297,4.20615799711454,4.11136081942804,4.19758862296898,4.20013582188697,3.54113483610971,3.92131613334646,4.27052812135868,4.01375492181785,3.83173026092061,3.87216809646087,3.93108573278353,3.70733552562419,4.23589551103324,4.20261980298039
"ABCC1",4.9029282295702,4.627515557584,4.36277589340889,4.75183892253057,4.86609770098571,5.43289545049118,6.03953483474153,5.66586521122309,4.90527469465361,4.87224352136194,4.6923614975052,4.82250178648228,4.65326854509948,5.42255673639554,4.09234924708379,4.71367508709129,5.16163213208373,4.69357318156295,4.6647713821971,5.01225003307565,4.36243555647275,4.69509978563632
"ABCC10",4.60001014761318,5.3389423087173,5.55072981666351,5.40181782695262,5.75364503774787,5.28289957115496,4.96886693015086,5.27283492492815,5.46794165842761,5.02687826058492,5.2740900308784,5.85952431964837,5.31141518859577,5.86226359127749,5.50106831757725,5.47951365068648,5.76279726366081,5.10187267963523,5.39289169945656,5.51732107187991,5.56868262723961,5.35108340265059
