"Gene","GS","GS_p","MM","MM_p"
"CGRRF1",-0.591075653033384,2.70730803674167e-38,-0.771340989751794,1.50930801197813e-78
"BRAT1",0.602339677095462,4.53313503039527e-40,0.774997759256546,9.68506438433851e-80
"KIAA1549",0.704101703621304,5.91261349519713e-60,0.828875931938938,2.03576678850974e-100
"NAT9",0.600465168968838,9.05458805427616e-40,0.764370350349086,2.46535793507158e-76
"JADE3",0.652395773436701,6.82283469333507e-49,0.841815465745672,1.73954070557058e-106
"USPL1",0.556740211532818,2.7451592175542e-33,0.714141172934413,2.18743455967544e-62
"OSER1",0.460230790671182,6.05198400653462e-22,0.711011237111951,1.28608702311095e-61
"HEATR5A",-0.545418770240015,9.22717962547163e-32,-0.719531054804347,9.78454749924157e-64
"ACBD6",0.661554301873582,1.08353150658275e-50,0.786281281249738,1.44341009602056e-83
"AARS1",0.617821920442438,1.24969757842185e-42,0.742784356424034,6.09357512123885e-70
"DUS4L",0.588283149527015,7.28040033892612e-38,0.779173508093201,3.94756289370134e-81
"TGIF2-RAB5IF",0.477832927096297,9.39671476362769e-24,0.710123904896111,2.11596733151438e-61
"EIF3B",0.628350284063075,1.87570822903854e-44,0.838764286402263,5.24261648929987e-105
"PCID2",0.621525894066562,2.90495302550905e-43,0.817292007624534,2.10738670923833e-95
"RNF114",0.575261186880433,6.48013486142129e-36,0.802518662927468,1.6795799097769e-89
"DIS3",0.588288831259396,7.26583237715348e-38,0.74457080816738,1.90707497796262e-70
"RCAN1",-0.606164913589188,1.08902223689824e-40,-0.728042821953009,6.21907462028822e-66
"DPM1",0.52791678700203,1.6360733975117e-29,0.767773768661029,2.0942572799776e-77
"RAB5IF",0.477629502319772,9.8738118147619e-24,0.710492899792525,1.72062418328913e-61
"SUSD6",-0.567714108795021,7.98171793744757e-35,-0.744719078074401,1.73103645595069e-70
"MAPRE1",0.535990625330061,1.5586657655027e-30,0.747963361071023,2.04456916462959e-71
"HADHB",-0.651142597579577,1.18933212525576e-48,-0.751372895333085,2.09029378534427e-72
"YAP1",0.55081678073137,1.75589050177852e-32,0.718237270032566,2.07649400804808e-63
"NDRG3",0.529433923626824,1.05688561342646e-29,0.731193519451393,9.10503676539406e-67
"HM13",0.588982416158905,5.68809363957532e-38,0.79576946661629,5.71606857101174e-87
"KAT2A",0.622870782956863,1.70197985531999e-43,0.795191561185966,9.32076537140106e-87
"NPTN",-0.541876717305563,2.69678290798634e-31,-0.706213688059914,1.85676806532406e-60
"TMEM9",0.6069918763888,7.9805590194208e-41,0.704086819408279,5.96085705002659e-60
